,Property,Beds,Showers,Garages,Area,Description,Price,Currency,Rent_Period,Url,Address,Time_Posted
0,14010 Result(s),4,4,2,250 m2,4 bedroom townhouse for rent in Airport Residential Area.   ...,"28,890",GH₵, month,14010 Result(s),Shiashie,Today
1,"4 bedroom townhouse for rent at Airport Residential Area, Ghana",4,4,2,160 m2,A Beautiful and Newly Built 4 Semi-Detached Townhouse in a g...,"3,500",$, month,"4 bedroom townhouse for rent at Airport Residential Area, Ghana",Accra,Today
2,"4 bedroom townhouse for rent at Cantonments, Ghana",4,3,1,42 m2,A true lifestyle experience offering our cherished client su...,"4,000",$, month,"4 bedroom townhouse for rent at Cantonments, Ghana",Dzorwulu,Today
3,"4 bedroom apartment for rent at Cantonments, Ghana",4,4,2,366 m2,A contemporary 4-Bedroom Townhouse located in the beautiful ...,"4,000",$, month,"4 bedroom apartment for rent at Cantonments, Ghana",DZORWULU,Today
4,"4 bedroom furnished house for rent at Cantonments, Ghana",3,3,2,300 m2,"Price is GH¢ 15,930 ($2,950) inclusive of servi­ce charg­e,n...","2,950",$, month,"4 bedroom furnished house for rent at Cantonments, Ghana",Accra,Today
5,"3 bedroom furnished apartment for rent at Cantonments, Ghana",3,3,1,"3,434 m2","Price is GH¢ 15,390 ($2,850) negotiable.
Please note that t...","2,850",$, month,"3 bedroom furnished apartment for rent at Cantonments, Ghana",Accra,Today
6,"3 bedroom furnished apartment for rent at Ridge,Accra,Ghana.",3,2,2,84 m2,Simply must be on your viewing list!! I’m excited to market ...,"3,500",$, month,"3 bedroom furnished apartment for rent at Ridge,Accra,Ghana.",East Legon Hills,Today
7,"3 bedroom furnished apartment for rent at Airport Area, Ghana",8,8,1,638 m2,"MAGNIFICENT 4BEDRM EDIFICE WITH A BOYS QUARTERS NOW 4RENT 
...","3,500",$, month,"3 bedroom furnished apartment for rent at Airport Area, Ghana",Cantonments,Today
8,"8 bedroom house for rent at ABELEMKPE , Ghana",1,1,2,320 m2,"Price is GH¢ 7,506 ($1,390) per month inclusive of service c...","1,390",$, month,"8 bedroom house for rent at ABELEMKPE , Ghana",Accra,Today
9,"1 bedroom furnished apartment for rent at Shiashie, Accra, Ghana",5,4,2,200 m2,,"2,500",$, month,"1 bedroom furnished apartment for rent at Shiashie, Accra, Ghana",East Cantonments,Today
10,"5 bedroom house for rent at Adjiringanor, Ghana",8,2,1,300 m2,Newly Built ground floor commercial building for rent at Mad...,6,$, month,"5 bedroom house for rent at Adjiringanor, Ghana","Tse Addo, behind Trade Fair",Today
11,"8 room furnished commercial space for rent at Madina zongo junction, Ghana",2,3,1,190 m2,2 bedroom apartment for short stays.Free WiFi is available t...,50,$, month,"8 room furnished commercial space for rent at Madina zongo junction, Ghana",Accra,Today
12,"2 bedroom furnished apartment for rent at Ashaley Botwe, Lakeside Estate, Accra, Ghana",2,2,4,650 m2,Furnished 2 bedroom apartment in a newly completed gated apa...,"1,800",$, month,"2 bedroom furnished apartment for rent at Ashaley Botwe, Lakeside Estate, Accra, Ghana",Kanda,Today
13,"2 bedroom furnished apartment for rent at  Osu, Ghana",,,3,230 m2,"Land for long lease for 45 years for GH¢2,000,000.00.
Letti...","3,704",GH₵, month,"2 bedroom furnished apartment for rent at  Osu, Ghana",Cantonments,Today
14,"Serviced land for rent at Nima, Ghana",2,2,2,300 m2,2 bedroom Luxury apartment at the Mirage Residence ...,"3,500",$, month,"Serviced land for rent at Nima, Ghana",Accra,Today
15,"2 bedroom apartment for rent at Airport Residential Area, Ghana",6,6,2,120 m2,Fully furnished 4bedroom main house and 2bedroom out house w...,"5,000",$, month,"2 bedroom apartment for rent at Airport Residential Area, Ghana",Shiashie,Today
16,"6 bedroom furnished house for rent at Trassaco , Ghana",4,5,2,900 m2,Four (4) bedroom house with a single room outer house with t...,"1,800",$, month,"6 bedroom furnished house for rent at Trassaco , Ghana",East Legon,Today
17,"4 bedroom house for rent at Dovehill Estate, Spintex Road, Ghana",2,2,1,"1,400 m2","This modern, beautiful and very enviable 2 bedroom apartment...","2,500",$, month,"4 bedroom house for rent at Dovehill Estate, Spintex Road, Ghana",East Legon,Today
18,"2 bedroom furnished apartment for rent at Airport Residential Area, Ghana",2,2,1,250 m2, 2 - Bedroom Luxury Apartments for Rent at PamV Estates in E...,999,$, month,"2 bedroom furnished apartment for rent at Airport Residential Area, Ghana","Ringway Estates, Osu",Today
19,"2 bedroom apartment for rent at East Legon Hills, Ghana",1,1,6,300 m2,"Nice and cute studio apartment, self catering accommodation....","3,000",GH₵, month,"2 bedroom apartment for rent at East Legon Hills, Ghana",,Today
20,"1 bedroom furnished apartment for rent at Spintex ( studio apartment ), Ghana",2,3,4,180 m2,Enjoy our fully furnished Premium Apartment. It comes with a...,"1,550",$, month,"1 bedroom furnished apartment for rent at Spintex ( studio apartment ), Ghana",,Today
21,"2 bedroom furnished apartment for rent at East Legon Hills, Ghana",6,4,3,60 m2,Property is ongoing renovation. An agreement can be made....,"3,000",$, month,"2 bedroom furnished apartment for rent at East Legon Hills, Ghana",,Today
22,"6 bedroom furnished house for rent at East Legon, Ghana",7,8,1,80 m2,Suitably located at Adenta is this amazing 7 bedrooms all en...,"3,000",$, month,"6 bedroom furnished house for rent at East Legon, Ghana",,Today
23,"7 bedroom house for rent at Adenta, Ghana",3,2,1,180 m2,"Three bedroom house,living room,kitchen 2 bath ,beautiful ga...","4,000",$, month,"7 bedroom house for rent at Adenta, Ghana",,Today
24,"3 bedroom house for rent at Osu, Ghana",3,2,1,45 m2,The property will be vacant from 15/12/19....,"3,000",$, month,"3 bedroom house for rent at Osu, Ghana",,Today
25,"3 bedroom house for rent at East Legon, Ghana",5,5,2,100 m2,"A 5 bedroom house in Amrahia. It has 5 bathrooms, a nicely f...",,, month,"3 bedroom house for rent at East Legon, Ghana",,Today
26,"5 bedroom furnished house for rent at Amrahia, Ghana",4,5,5,650 m2,An executive and a newly built four bedroom house with a stu...,"3,500",$, month,"5 bedroom furnished house for rent at Amrahia, Ghana",,Today
27,"4 bedroom house for rent at East Legon A&C mall , Ghana",,,2,100 m2,"Quick Fix Property Management Ltd. Presents

Emerald House...",29,$, month,"4 bedroom house for rent at East Legon A&C mall , Ghana",,Today
28,"Commercial space for rent at Airport Residential Area, Ghana",3,3,4,"3,000 m2",Westfields Real Estate offers this nicely refurbished 3 bedr...,"2,200",$, month,"Commercial space for rent at Airport Residential Area, Ghana",,Today
29,"3 bedroom apartment for rent at Cantonments, Ghana",,,1,110 m2,"Quick Fix Property Management Ltd presents

Dennis House. ...",19,$, month,"3 bedroom apartment for rent at Cantonments, Ghana",,Today
30,"Commercial space for rent at Tema, Ghana",2,2,1,350 m2,"A two bedroom apartment for rent at Spintex-Baatsona, well f...","1,650",$, month,"Commercial space for rent at Tema, Ghana",,Today
31,"2 bedroom furnished apartment for rent at Spintex, Ghana",,,60,400 m2,The building is located within the Meridian Enclave behind E...,80,GH₵, month,"2 bedroom furnished apartment for rent at Spintex, Ghana",,Today
32,"Office for rent at Tema Community 1, Ghana",3,3,5,180 m2,"Quick Fix Property Management Ltd. presents

Elite Apartme...","1,200",$, month,"Office for rent at Tema Community 1, Ghana",,Today
33,"3 bedroom apartment for rent at Roman Ridge, Ghana",4,5,1,215 m2,"Price is GH¢9,263 ($1,950) per month­, inclusive of servi­ce...","1,790",$, month,"3 bedroom apartment for rent at Roman Ridge, Ghana",,Today
34,"4 bedroom house for rent at Airport Hills, Accra, Ghana",2,2,1,141 m2,"Price is GH¢14,310 ($2,650) negotiable, inclusive of service...","2,650",$, month,"4 bedroom house for rent at Airport Hills, Accra, Ghana",,Today
35,"2 bedroom furnished apartment for rent at Airport Residential Area,Accra,Ghana",2,2,1,90 m2,"1. Secure location

2. Modern interior works

3. large p...","1,200",$, month,"2 bedroom furnished apartment for rent at Airport Residential Area,Accra,Ghana",,Today
36,"2 bedroom apartment for rent at West Legon, Ghana",3,3,1,120 m2,"1. Secure location

2. Modern interior works

3. large p...","1,600",$, month,"2 bedroom apartment for rent at West Legon, Ghana",,Today
37,"3 bedroom apartment for rent at West Legon, Ghana",5,6,2,80 m2,"MAGNIFICENT 5BEDRM EDIFICE WITH A BOYS QUARTERS NOW 4RENT 
L...","1,800",$, month,"3 bedroom apartment for rent at West Legon, Ghana",,Yesterday
38,"5 bedroom house for rent at East Legon, Ghana",2,2,1,366 m2,Available to let in east legon is this ultra modern 2 bedroo...,500,$, month,"5 bedroom house for rent at East Legon, Ghana",,Yesterday
39,"2 bedroom apartment for rent at East Legon, Ghana",2,2,1,84 m2,We present to you this beautiful property in a  good shape l...,"1,600",GH₵, month,"2 bedroom apartment for rent at East Legon, Ghana",,Yesterday
40,"2 bedroom apartment for rent at Dzorwulu, Ghana",2,2,1,,This is a new apartment block located in the East Legon ARS ...,"2,200",GH₵, month,"2 bedroom apartment for rent at Dzorwulu, Ghana",,Yesterday
41,"2 bedroom apartment for rent at East Legon ARS Area, Ghana",4,3,2,,This beautiful 4 bedroom house with 3 washrooms is up for re...,"3,000",$, month,"2 bedroom apartment for rent at East Legon ARS Area, Ghana",,Yesterday
42,"4 bedroom house for rent at Community Eighteen, Ghana",1,1,1,,Beautifully built apartment block situated in a serene neigh...,"5,500",GH₵, month,"4 bedroom house for rent at Community Eighteen, Ghana",,Yesterday
43,"1 bedroom apartment for rent at East Airport, Ghana",2,2,1,,Furnished Two Bedroom Apartment For Rent At Dzorwulu In A Ni...,800,$, month,"1 bedroom apartment for rent at East Airport, Ghana",,4 days
44,"2 bedroom furnished apartment for rent at Dzorwulu, Ghana",3,4,1,,Executive Three Bedroom House With  Only Two On Compound For...,650,$, month,"2 bedroom furnished apartment for rent at Dzorwulu, Ghana",,4 days
45,"3 bedroom house for rent at West Legon, Ghana",3,4,2,,,800,$, month,"3 bedroom house for rent at West Legon, Ghana",,4 days
46,"3 bedroom apartment for rent at North Legon, Ghana",3,3,,,Spacious 3/4 bedroom first floor fully furnished apartment l...,"1,900",$, month,"3 bedroom apartment for rent at North Legon, Ghana",,4 days
47,"3 bedroom furnished apartment for rent at Airport Residential Area, Ghana",2,3,,,"Luxurious Two (2) bedroom apartment 

all rooms en suite
vis...","2,500",GH₵, month,"3 bedroom furnished apartment for rent at Airport Residential Area, Ghana",,5 days
48,"2 bedroom apartment for rent at East Legon, Ghana",,,,,Located at East Legon Shiashie right behind the French Schoo...,"1,500",$, month,"2 bedroom apartment for rent at East Legon, Ghana",,5 days
49,"Office for rent at East Legon, Ghana",3,2,,,"This is a house located at Regimanuel Gray Estate, East Airp...","1,500",$, month,"Office for rent at East Legon, Ghana",,5 days
50,"3 bedroom house for rent at Spintex, Ghana",1,1,,,Westfields Real Estate offers for rent this luxury 1 Bedroom...,"2,500",$, month,"3 bedroom house for rent at Spintex, Ghana",,5 days
51,"1 bedroom furnished apartment for rent at Cantonment, Ghana",2,2,,,"Special two bedroom to let at Kwabenya balloon gate. 
It's a...",500,$, month,"1 bedroom furnished apartment for rent at Cantonment, Ghana",,6 days
52,"2 bedroom furnished apartment for rent at Kwabenya, Ghana",6,3,,,Lovely property could be a family home or used as offices...,"2,000",GH₵, month,"2 bedroom furnished apartment for rent at Kwabenya, Ghana",,6 days
53,"6 bedroom house for rent at Pokuase, Ghana",4,2,,,Magnificent 4 bedroom self compound house for rent at Madina...,"2,000",GH₵, month,"6 bedroom house for rent at Pokuase, Ghana",,6 days
54,"4 bedroom house for rent at Madina, Ghana",8,8,,,"MAGNIFICENT 4BEDRM EDIFICE WITH A BOYS QUARTERS NOW 4RENT 
...","3,500",$, month,"4 bedroom house for rent at Madina, Ghana",,1 week
55,"8 bedroom house for rent at Abelemkpe, Ghana",,,,,Shop for rent at adjirigano school junction. Property comes ...,800,GH₵, month,"8 bedroom house for rent at Abelemkpe, Ghana",,1 week
56,"Shop for rent at Adjirigano School junction, Ghana",5,5,,, Furnished 4Bedrooms with One Bedrooms Boys Quarters Self co...,"1,000",$, month,"Shop for rent at Adjirigano School junction, Ghana",,1 week
57,"5 bedroom furnished house for rent at Accra,Mariville Home in Gated community off Spintex road, Ghana",6,6,,,Available for Rent is this Executive 6-bedroom  house locate...,"3,500",$, month,"5 bedroom furnished house for rent at Accra,Mariville Home in Gated community off Spintex road, Ghana",,1 week
58,"6 bedroom furnished house for rent at 6-Bedroom house to-let@eastlegon, Ghana",2,2,,,This newly built 3 story complex consists of 2 and 3 bedroom...,500,$, month,"6 bedroom furnished house for rent at 6-Bedroom house to-let@eastlegon, Ghana",,1 week
59,"2 bedroom apartment for rent at Mc Carthy Hill, Ghana",5,5,,,"5 bedrooms all have air conditioner 
Inbuilt fridge at the ...",700,$, month,"2 bedroom apartment for rent at Mc Carthy Hill, Ghana",,1 week
60,"5 bedroom furnished house for rent at Old Ashongman, Ghana",,,,,"Available to let at North Ridge - close to Alisa Hotel, is t...",20,$, month,"5 bedroom furnished house for rent at Old Ashongman, Ghana",,1 week
61,"Office for rent at North Ridge, Ghana",8,8,,,7Bedrooms with 1Bedrooms Boys Quarters attached House For Re...,"1,200",$, month,"Office for rent at North Ridge, Ghana",,1 week
62,"8 bedroom house for rent at Tema community12, Ghana",2,2,,,The executive 2 bedroom is located  in a well developed  and...,"2,000",GH₵, month,"8 bedroom house for rent at Tema community12, Ghana",,1 week
63,"2 bedroom apartment for rent at Executive 2-bedrooms apartment to-let at Eastlegon , Ghana",3,2,,,This amazing apartment located in the prime neighborhood of ...,"19,250",GH₵, month,"2 bedroom apartment for rent at Executive 2-bedrooms apartment to-let at Eastlegon , Ghana",,1 week
64,"3 bedroom furnished apartment for rent at AIRPORT, Ghana",3,4,,,Westfields Real Estate offers for rent this fantastic 3-bedr...,"3,500",$, month,"3 bedroom furnished apartment for rent at AIRPORT, Ghana",,1 week
65,"3 bedroom furnished apartment for rent at North Ridge, Ghana",2,2,,,TWO BEDROOMS APARTMENT FOR RENT LOCATED AT AIRPORT MIRAGE.  ...,"3,500",$, month,"3 bedroom furnished apartment for rent at North Ridge, Ghana",,1 week
66,"2 bedroom furnished house for rent at Airport Mirage, Ghana",3,3,,,This nicely furnished  3bedroom house is located at comm 18....,"2,000",$, month,"2 bedroom furnished house for rent at Airport Mirage, Ghana",,1 week
67,"3 bedroom furnished house for rent at COMM 18, Ghana",,,,,1000sqm and 2000sqm warehouses and 1000sqm fenced external c...,4,$, month,"3 bedroom furnished house for rent at COMM 18, Ghana",,1 week
68,"Warehouse for rent at Tema, Ghana",4,4,,,This is an executive 4 bedroom house located at Spintex. ...,800,$, month,"Warehouse for rent at Tema, Ghana",,2 weeks
69,"4 bedroom house for rent at Spintex Road, Ghana",1,1,,,This Stunning contemporary 1 bedroom Apartment is presented ...,"1,900",$, month,"4 bedroom house for rent at Spintex Road, Ghana",,2 weeks
70,"1 bedroom furnished apartment for rent at North Ridge, Ghana",1,1,,,A Superb 1 bedroom furnished penthouse apartment is availabl...,"2,000",$, month,"1 bedroom furnished apartment for rent at North Ridge, Ghana",,2 weeks
71,"1 bedroom furnished apartment for rent at Dzorwulu, Ghana",7,7,,,Office for rent at East Legon. Prime and great location...ne...,15,$, month,"1 bedroom furnished apartment for rent at Dzorwulu, Ghana",,2 weeks
72,"Office for rent at East Legon, Ghana",4,4,,,Neatly and gorgeously crafted is this ultra modern 4 bedroom...,"2,000",$, month,"Office for rent at East Legon, Ghana",,2 weeks
73,"4 bedroom house for rent at East Legon, Ghana",3,4,,,Anaadumba Real Estate presents this 3 bedrooms Townhouse wit...,"2,500",$, month,"4 bedroom house for rent at East Legon, Ghana",,3 weeks
74,"3 bedroom townhouse for rent at Cantonments, Ghana",2,2,,,Beautiful Spacious 2bedrooms Apartment for rent at Prampram ...,450,GH₵, month,"3 bedroom townhouse for rent at Cantonments, Ghana",,3 weeks
75,"2 bedroom apartment for rent at Prampram, Ghana",2,1,,,"Office for rent at Ahaji, adjacent Florensa hotel. It is spa...",500,GH₵, month,"2 bedroom apartment for rent at Prampram, Ghana",,3 weeks
76,"Office for rent at Alhaji Station, Ghana",3,3,,,Affordable 3 bedroom semi-furnished apartment  for rent at E...,900,$, month,"Office for rent at Alhaji Station, Ghana",,3 weeks
77,"3 bedroom apartment for rent at East Legon, Ghana",5,6,,,This beautiful 5 bedroom house with all rooms en-suite is up...,"1,500",$, month,"3 bedroom apartment for rent at East Legon, Ghana",,1 month
78,"5 bedroom house for rent at Community 22, Ghana",3,3,,,3bedrooms house for for rent in east Legon adjiringanor abil...,700,$, month,"5 bedroom house for rent at Community 22, Ghana",,1 month
79,"3 bedroom house for rent at East Legon , Ghana",3,3,,,,"2,400",$, month,"3 bedroom house for rent at East Legon , Ghana",,1 month
80,"3 bedroom furnished apartment for rent at Osu, Ghana",2,2,,,Option Realtors present you this lovely 2 bedroom apartment ...,"3,400",$, month,"3 bedroom furnished apartment for rent at Osu, Ghana",,1 month
81,"2 bedroom furnished apartment for rent at Cantonments, Ghana",6,5,,,Executive 5/6 Bedroom House At East Legon Hills-nana Junctio...,"4,200",GH₵, month,"2 bedroom furnished apartment for rent at Cantonments, Ghana",,1 month
82,"6 bedroom house for rent at East Legon Hills, Ghana",3,4,,,The apartment building also has 24-hour onsite facility mana...,"4,800",$, month,"6 bedroom house for rent at East Legon Hills, Ghana",,1 month
83,"3 bedroom furnished apartment for rent at Airport Residential Area, Ghana",4,4,,,Only 5 minutes drive from the Accra Mall. The development of...,"2,500",$, month,"3 bedroom furnished apartment for rent at Airport Residential Area, Ghana",,1 month
84,"4 bedroom furnished townhouse for rent at East Legon, Ghana",2,3,,,"Situated in the heart of Cantonments, the gracefully designe...","3,300",$, month,"4 bedroom furnished townhouse for rent at East Legon, Ghana",,> 3 months
85,"2 bedroom furnished apartment for rent at Cantonments, Ghana",1,1,,,Elegance and simplicity are expressed in our one-bedroom apa...,"2,300",$, month,"2 bedroom furnished apartment for rent at Cantonments, Ghana",,> 3 months
86,"1 bedroom furnished apartment for rent at Cantonments, Ghana",4,4,,,"A unique home built, to give residents comfort and style. Th...","22,000",GH₵, month,"1 bedroom furnished apartment for rent at Cantonments, Ghana",,Today
87,"4 bedroom townhouse for rent at Cantonments, Ghana",5,5,,,"Situated in Ridge, one of Accra’s most sought after resident...","27,500",GH₵, month,"4 bedroom townhouse for rent at Cantonments, Ghana",,Today
88,"5 bedroom townhouse for rent at RIDGE, Ghana",2,2,,,Coldwell Banker Commercial Ghana presents this furnished 2 b...,"2,500",$, month,"5 bedroom townhouse for rent at RIDGE, Ghana",,Today
89,"2 bedroom furnished apartment for rent at Cantonments, Ghana",2,2,,,Your private 2 bedroom sanctuary - this unfurnished apartmen...,"1,800",$, month,"2 bedroom furnished apartment for rent at Cantonments, Ghana",,Today
90,"2 bedroom apartment for rent at Cantonments, Ghana",4,5,,,"New listing???? TO LET!  

Simply must be on your viewing li...","4,500",$, month,"2 bedroom apartment for rent at Cantonments, Ghana",,Today
91,"4 bedroom house for rent at Trasacco, Ghana",2,2,,,These amazing 2 bedroom 2 bathrooms fully furnished apartmen...,800,$, month,"4 bedroom house for rent at Trasacco, Ghana",,Today
92,"2 bedroom furnished apartment for rent at Osu, Ghana",5,5,,,Contact agent for more details and viewing of the property....,"4,000",GH₵, month,"2 bedroom furnished apartment for rent at Osu, Ghana",,Today
93,"5 bedroom house for rent at East Legon Hills, Ghana",3,2,,,"3 and 2 bedroom apartments for rent. Spacious compound, secu...","1,000",$, month,"5 bedroom house for rent at East Legon Hills, Ghana",,Today
94,"3 bedroom apartment for rent at East Legon, Ghana",5,4,,,,"2,500",$, month,"3 bedroom apartment for rent at East Legon, Ghana",,Today
95,"5 bedroom house for rent at Adjiringanor, Ghana",1,1,,,Exquisite modern one(1) bedroom furnished apartment availabl...,"1,250",$, month,"5 bedroom house for rent at Adjiringanor, Ghana",,Today
96,"1 bedroom furnished apartment for rent at Labone, Ghana",3,4,,,Suitably located in the prestigious Airport Residential Area...,"3,500",$, month,"1 bedroom furnished apartment for rent at Labone, Ghana",,Today
97,"3 bedroom apartment for rent at Airport Residential Area, Ghana",3,4,,,Suitably located in the prestigious Airport Residential Area...,"3,000",$, month,"3 bedroom apartment for rent at Airport Residential Area, Ghana",,Today
98,"3 bedroom apartment for rent at Airport Residential Area, Ghana",4,5,,,Four (4) bedroom house with a single room outer house with t...,"1,800",$, month,"3 bedroom apartment for rent at Airport Residential Area, Ghana",,Today
99,"4 bedroom house for rent at Dovehill Estate, Spintex Road, Ghana",2,2,,,2 bedroom Luxury apartment at the Mirage Residence ...,"3,500",$, month,"4 bedroom house for rent at Dovehill Estate, Spintex Road, Ghana",,Today
100,"2 bedroom apartment for rent at Airport Residential Area, Ghana",2,2,,,Furnished 2 bedroom apartment in a newly completed gated apa...,"1,800",$, month,"2 bedroom apartment for rent at Airport Residential Area, Ghana",,Today
101,"2 bedroom furnished apartment for rent at  Osu, Ghana",4,6,,,,"1,000",$, month,"2 bedroom furnished apartment for rent at  Osu, Ghana",,Today
102,"4 bedroom furnished house for rent at Trasacco East-Legon, Ghana",,,,,,,,,"4 bedroom furnished house for rent at Trasacco East-Legon, Ghana",,
103, ,,,,,,,,, ,,
